movieId,rating_count,avg_rating,std_rating,min_rating,max_rating
1580,165,3.487878787878788,0.9172325740912886,0.5,5.0
2366,25,3.64,0.99498743710662,1.5,5.0
3175,75,3.58,1.0398804505092647,1.0,5.0
1088,42,3.369047619047619,0.994248851226354,1.0,5.0
32460,4,4.25,0.6454972243679028,3.5,5.0
44022,23,3.217391304347826,0.8504823091062899,1.0,4.5
96488,4,4.25,0.2886751345948128,4.0,4.5
1238,9,4.055555555555555,0.8079466429027216,3.0,5.0
1342,11,2.5,1.0488088481701516,1.0,4.0
1591,26,2.6346153846153846,1.1185498854113956,1.0,5.0
1645,51,3.411764705882353,0.988462858952936,1.0,5.0
4519,9,3.3333333333333335,0.7500000000000001,2.0,4.0
2142,10,2.7,0.7888106377466155,1.0,3.5
471,40,3.55,1.1082441645256373,1.0,5.0
3997,12,1.8333333333333333,0.937436866561092,0.5,3.0
833,6,2.0,1.3038404810405297,0.5,4.0
3918,9,3.2777777777777777,1.3017082793177757,1.0,5.0
7982,4,3.25,1.8929694486000914,0.5,4.5
1959,15,3.6666666666666665,0.6172133998483676,3.0,5.0
68135,10,3.55,0.550252467307306,2.5,4.5
5300,1,4.0,,4.0,4.0
2659,1,2.0,,2.0,2.0
5803,7,2.5,0.8660254037844386,1.5,4.0
76143,1,4.5,,4.5,4.5
140541,1,4.0,,4.0,4.0
2122,11,2.4545454545454546,1.1716344450071756,1.0,4.0
6620,18,3.8333333333333335,0.9548637106322311,2.0,5.0
54190,11,4.045454545454546,0.7229988054812211,3.0,5.0
8638,15,3.7,1.0488088481701516,1.0,5.0
4900,5,3.0,1.0606601717798212,1.5,4.0
1829,2,3.25,0.3535533905932738,3.0,3.5
160563,6,3.0833333333333335,0.6645800679125629,2.0,3.5
36525,8,2.6875,1.032939633141398,1.0,4.0
6658,4,3.375,1.0307764064044151,2.0,4.5
148,1,5.0,,5.0,5.0
496,1,5.0,,5.0,5.0
175197,1,3.5,,3.5,3.5
3794,2,2.5,0.7071067811865476,2.0,3.0
2866,5,3.6,0.4183300132670378,3.0,4.0
91784,1,4.5,,4.5,4.5
6654,1,3.5,,3.5,3.5
166558,1,3.0,,3.0,3.0
5156,1,2.5,,2.5,2.5
7993,1,2.5,,2.5,2.5
4818,1,2.0,,2.0,2.0
7340,4,2.75,0.9574271077563381,2.0,4.0
141422,1,2.5,,2.5,2.5
150604,1,2.5,,2.5,2.5
6466,3,3.5,1.3228756555322954,2.0,4.5
6336,1,3.0,,3.0,3.0
6357,2,3.0,0.0,3.0,3.0
7833,1,3.5,,3.5,3.5
139747,1,3.5,,3.5,3.5
179749,1,1.5,,1.5,1.5
31367,1,2.0,,2.0,2.0
144522,1,2.0,,2.0,2.0
153236,1,3.0,,3.0,3.0
1025,25,3.58,0.7994789970140972,2.0,5.0
1127,62,3.475806451612903,0.9251823894390694,0.5,5.0
2387,16,3.4375,1.1672617529928753,1.0,5.0
2580,39,3.9615384615384617,0.806100223824682,2.5,5.0
1084,35,4.071428571428571,0.6981367759853319,3.0,5.0
243,1,3.0,,3.0,3.0
540,18,2.6666666666666665,0.90748521297303,1.0,4.0
1721,140,3.414285714285714,1.0524771347724904,0.5,5.0
858,192,4.2890625,0.9043438836790151,1.0,5.0
48780,90,4.0055555555555555,0.7914374791452292,1.5,5.0
166635,6,3.6666666666666665,0.408248290463863,3.0,4.0
3698,34,3.2205882352941178,0.9784896870872913,1.5,5.0
4161,23,3.347826086956522,0.697964290059046,2.0,5.0
6773,22,3.7045454545454546,0.5907842025866756,3.0,5.0
43921,5,3.3,0.6708203932499369,2.5,4.0
56941,11,3.090909090909091,1.2210278829367864,0.5,5.0
737,20,2.65,1.3964240043768943,0.5,5.0
4929,4,2.375,0.47871355387816905,2.0,3.0
