movieId,rating_count,avg_rating,std_rating,min_rating,max_rating
356,329,4.164133738601824,0.8312435184333795,0.5,5.0
318,317,4.429022082018927,0.7130186250284238,1.0,5.0
296,307,4.197068403908795,0.9519971466349251,0.5,5.0
593,279,4.161290322580645,0.853983335734232,0.5,5.0
2571,278,4.192446043165468,0.9752425167066034,0.5,5.0
260,251,4.231075697211155,0.8720036916475825,0.5,5.0
480,238,3.75,0.8553011658989986,0.5,5.0
110,237,4.031645569620253,0.9677263634544532,0.5,5.0
589,224,3.970982142857143,0.9268331343195051,0.5,5.0
527,220,4.225,0.9759961542704384,0.5,5.0
2959,218,4.272935779816514,0.8613843779335714,0.5,5.0
1,215,3.9209302325581397,0.8348591407114045,0.5,5.0
1196,211,4.2156398104265405,0.8421581929938285,0.5,5.0
50,204,4.237745098039215,0.8009211530017211,1.0,5.0
2858,204,4.056372549019608,0.9702513911360044,0.5,5.0
47,203,3.9753694581280787,0.9224291201153795,0.5,5.0
780,202,3.4455445544554455,0.9960144210104318,0.5,5.0
150,201,3.845771144278607,0.8766952306036482,1.0,5.0
1198,200,4.2075,0.7945756745034187,0.5,5.0
4993,198,4.106060606060606,0.9351368076918685,0.5,5.0
