userId,rating_count,avg_rating,std_rating,min_rating,max_rating
148,48,3.7395833333333335,0.6840864644035445,1.5,5.0
463,33,3.787878787878788,0.6498834394323991,2.0,5.0
471,28,3.875,0.7652765174419949,2.0,5.0
496,29,3.413793103448276,1.0094992174096713,1.0,5.0
243,36,4.138888888888889,0.8333333333333333,3.0,5.0
392,25,3.2,1.2583057392117916,1.0,5.0
540,42,4.0,0.8263938705413375,2.0,5.0
31,50,3.92,1.0069148678117767,1.0,5.0
516,26,3.6923076923076925,0.8375789285425354,2.0,5.0
85,34,3.7058823529411766,1.3602453380472013,1.0,5.0
137,141,3.978723404255319,0.7143237071962638,2.0,5.0
251,23,4.869565217391305,0.5269421070570498,2.5,5.0
451,34,3.7941176470588234,0.9464258687999234,1.0,5.0
580,436,3.529816513761468,1.0439892381982658,0.5,5.0
65,34,4.029411764705882,0.5357121636491371,3.0,5.0
458,59,4.1525423728813555,0.8869467060542469,2.0,5.0
53,20,5.0,0.0,5.0,5.0
255,44,2.5681818181818183,1.5003523194411472,1.0,5.0
481,31,2.806451612903226,1.0138821377494092,1.0,5.0
588,56,3.25,1.066003581778052,1.0,5.0
133,35,3.0,0.6859943405700354,1.0,4.0
296,27,4.166666666666667,1.3155870289605436,1.0,5.0
472,29,4.120689655172414,0.8520476639689103,1.0,5.0
78,61,3.1639344262295084,1.1787044847183208,0.5,5.0
322,107,3.411214953271028,0.9610653584280919,0.5,5.0
513,32,3.890625,0.8398768630944006,2.0,5.0
321,56,3.5714285714285716,0.6837634587578276,3.0,5.0
362,109,4.243119266055046,0.5594916628771921,1.5,5.0
375,33,3.909090909090909,1.1212057227499654,0.5,5.0
593,103,3.266990291262136,1.0909959786337495,1.0,5.0
597,443,3.9774266365688487,1.0483495608490168,1.0,5.0
108,76,3.986842105263158,1.0892617812400174,1.0,5.0
155,46,3.608695652173913,0.7142443052179217,2.0,5.0
34,86,3.4186046511627906,1.3565970946285353,0.5,5.0
193,35,3.8,1.0860072581276252,0.5,5.0
211,89,3.904494382022472,0.7829010898225601,1.0,5.0
368,469,2.8422174840085286,0.8221351369263269,1.0,5.0
530,27,3.7777777777777777,0.8006407690254357,2.0,5.0
101,61,3.557377049180328,1.0571122640466404,1.0,5.0
115,112,3.767857142857143,1.1777375077094372,1.0,5.0
126,38,3.289473684210526,1.333718531366489,1.0,5.0
81,26,2.769230769230769,1.1766968108291043,1.0,5.0
385,201,3.4029850746268657,0.8785163884505055,1.0,5.0
28,570,3.020175438596491,0.7937785129939784,0.5,5.0
183,57,3.824561403508772,0.8477450555432304,2.0,5.0
210,138,4.079710144927536,0.8612636633763979,0.5,5.0
436,106,3.1792452830188678,0.7533691918729172,1.0,5.0
497,51,3.5686274509803924,1.0955346085046207,2.0,5.0
596,411,3.495133819951338,0.6878568123117378,1.0,5.0
300,32,4.296875,0.6581912532132674,3.0,5.0
406,20,3.25,1.3228756555322954,0.5,5.0
412,102,3.892156862745098,1.0800335779992685,1.0,5.0
587,165,3.9757575757575756,0.9169908047489284,1.0,5.0
76,119,3.0840336134453783,1.292611546068676,0.5,5.0
26,21,3.238095238095238,0.6248809410409237,2.0,4.0
27,135,3.5481481481481483,1.063074382189431,1.0,5.0
332,267,3.599250936329588,0.712719693572629,1.0,5.0
501,45,3.2,0.9676588429625581,1.0,5.0
577,161,3.5652173913043477,0.8571946154145231,1.0,5.0
384,70,3.085714285714286,1.200758904264204,1.0,5.0
44,48,3.3541666666666665,1.1575760318456607,1.0,5.0
159,97,3.2731958762886597,1.1814993532158553,0.5,5.0
192,22,4.045454545454546,0.7854190708679775,3.0,5.0
271,43,3.186046511627907,0.7401999071514838,1.0,4.5
606,1115,3.6573991031390136,0.7241205012691343,0.5,5.0
253,47,4.351063829787234,0.6586786312880119,2.0,5.0
103,377,3.907161803713528,0.7884651517717446,0.5,5.0
236,30,3.966666666666667,1.3514572807192966,1.0,5.0
329,23,2.869565217391304,1.7465380777174588,0.5,5.0
460,82,4.201219512195122,0.6519664276820168,1.0,5.0
12,32,4.390625,0.726618049818872,3.0,5.0
336,56,4.321428571428571,0.6496752435470524,2.5,5.0
350,40,3.25,0.5883484054145521,2.0,5.0
223,75,3.2733333333333334,0.9942175156717308,0.5,5.0
388,29,3.6206896551724137,1.2222284420402019,1.0,5.0
417,67,4.462686567164179,0.7246390576747392,2.5,5.0
548,26,4.096153846153846,1.0489921903353785,1.0,5.0
602,135,3.3925925925925924,0.9780905575409111,1.0,5.0
91,575,3.3956521739130436,0.9714918396392644,0.5,5.0
409,126,3.8412698412698414,1.0984549033088133,1.0,5.0
578,27,3.962962962962963,1.1173967507450069,0.5,5.0
333,25,2.64,1.2543258481484523,1.0,5.0
222,250,3.166,0.825937461774832,1.0,5.0
285,36,3.9583333333333335,0.9287087810503352,2.0,5.0
601,101,4.425742574257426,0.4548963542053364,3.5,5.0
22,119,2.5714285714285716,1.5435564731996092,0.5,5.0
128,33,4.363636363636363,0.6990252954195322,3.0,5.0
209,35,4.242857142857143,0.9023778112773577,1.5,5.0
330,247,3.6902834008097165,1.050661193605121,0.5,5.0
372,236,3.3559322033898304,1.0316310055219713,1.0,5.0
604,100,3.48,0.7450849046595397,1.0,5.0
122,292,4.546232876712328,0.49264646212813373,2.0,5.0
230,139,2.8597122302158273,1.1099496936283055,0.5,5.0
319,35,4.428571428571429,0.5442595772193248,3.5,5.0
493,61,3.6885245901639343,1.0884389985442051,1.0,5.0
93,97,4.288659793814433,0.5943968036063593,3.0,5.0
157,21,3.4761904761904763,1.0304876330673562,2.0,5.0
190,66,3.909090909090909,0.7227569594114072,2.5,5.0
