movieId,title,genres,genre_array,genre_count,year_str,rating_count,avg_rating,std_rating,min_rating,max_rating,year
73268,Daybreakers (2010),Action|Drama|Horror|Thriller,"['Action', 'Drama', 'Horror', 'Thriller']",4,2010.0,6,3.4166666666666665,0.4915960401250875,2.5,4.0,2010
73319,Leap Year (2010),Comedy|Romance,"['Comedy', 'Romance']",2,2010.0,5,2.4,1.1937336386313322,0.5,3.5,2010
73321,"Book of Eli, The (2010)",Action|Adventure|Drama,"['Action', 'Adventure', 'Drama']",3,2010.0,16,3.28125,0.682367203197809,2.0,4.5,2010
73929,Legion (2010),Action|Fantasy|Horror|Thriller,"['Action', 'Fantasy', 'Horror', 'Thriller']",4,2010.0,3,2.833333333333333,0.7637626158259734,2.0,3.5,2010
74154,When in Rome (2010),Comedy|Romance,"['Comedy', 'Romance']",2,2010.0,4,2.5,1.2909944487358056,1.0,4.0,2010
74324,Temple Grandin (2010),Drama,['Drama'],1,2010.0,4,4.375,0.25,4.0,4.5,2010
74450,Valentine's Day (2010),Comedy|Romance,"['Comedy', 'Romance']",2,2010.0,3,2.6666666666666665,0.5773502691896258,2.0,3.0,2010
74452,"Wolfman, The (2010)",Horror|Thriller,"['Horror', 'Thriller']",2,2010.0,2,2.25,2.4748737341529163,0.5,4.0,2010
74458,Shutter Island (2010),Drama|Mystery|Thriller,"['Drama', 'Mystery', 'Thriller']",3,2010.0,67,4.022388059701493,0.9391841874931068,0.5,5.0,2010
74530,Percy Jackson & the Olympians: The Lightning Thief (2010),Adventure|Fantasy,"['Adventure', 'Fantasy']",2,2010.0,7,2.357142857142857,0.944911182523068,0.5,3.5,2010
74532,Cop Out (2010),Action|Comedy|Crime,"['Action', 'Comedy', 'Crime']",3,2010.0,5,2.5,1.6955824957813173,0.5,5.0,2010
74545,"Ghost Writer, The (2010)",Drama|Mystery|Thriller,"['Drama', 'Mystery', 'Thriller']",3,2010.0,7,3.7857142857142856,0.6362090102803518,3.0,4.5,2010
74580,"Spy Next Door, The (2010)",Action|Children|Comedy,"['Action', 'Children', 'Comedy']",3,2010.0,1,2.0,0.0,2.0,2.0,2010
74685,"Crazies, The (2010)",Action|Drama|Horror|Sci-Fi|Thriller,"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Thriller']",5,2010.0,4,3.375,1.4361406616345072,1.5,5.0,2010
74688,Dear John (2010),Drama|Romance|War,"['Drama', 'Romance', 'War']",3,2010.0,1,3.5,0.0,3.5,3.5,2010
74698,Tooth Fairy (2010),Comedy|Fantasy,"['Comedy', 'Fantasy']",2,2010.0,3,2.1666666666666665,0.2886751345948129,2.0,2.5,2010
74789,Alice in Wonderland (2010),Adventure|Fantasy|IMAX,"['Adventure', 'Fantasy', 'IMAX']",3,2010.0,28,2.875,1.050793351076541,0.5,5.0,2010
74795,Green Zone (2010),Action|Drama|Thriller|War,"['Action', 'Drama', 'Thriller', 'War']",4,2010.0,9,3.5,0.4330127018922193,3.0,4.0,2010
74851,From Paris with Love (2010),Action|Crime,"['Action', 'Crime']",2,2010.0,2,2.5,0.7071067811865476,2.0,3.0,2010
74916,Greenberg (2010),Comedy|Drama,"['Comedy', 'Drama']",2,2010.0,3,2.333333333333333,0.2886751345948129,2.0,2.5,2010
74946,She's Out of My League (2010),Comedy,['Comedy'],1,2010.0,9,3.2222222222222223,1.5023130314433288,0.5,5.0,2010
75341,Remember Me (2010),Drama|Romance,"['Drama', 'Romance']",2,2010.0,1,4.0,0.0,4.0,4.0,2010
75395,Frozen (2010),Drama|Horror|Thriller,"['Drama', 'Horror', 'Thriller']",3,2010.0,2,3.25,0.3535533905932738,3.0,3.5,2010
75803,Our Family Wedding (2010),Comedy,['Comedy'],1,2010.0,1,1.5,0.0,1.5,1.5,2010
75805,"Bounty Hunter, The (2010)",Action|Comedy|Romance,"['Action', 'Comedy', 'Romance']",3,2010.0,6,2.75,0.4183300132670378,2.0,3.0,2010
75985,Repo Men (2010),Action|Sci-Fi|Thriller,"['Action', 'Sci-Fi', 'Thriller']",3,2010.0,6,3.5,0.9486832980505135,2.0,4.5,2010
76077,Hot Tub Time Machine (2010),Comedy|Sci-Fi,"['Comedy', 'Sci-Fi']",2,2010.0,15,3.3,0.7745966692414834,2.0,4.5,2010
76093,How to Train Your Dragon (2010),Adventure|Animation|Children|Fantasy|IMAX,"['Adventure', 'Animation', 'Children', 'Fantasy', 'IMAX']",5,2010.0,53,3.943396226415094,0.8585563540399715,2.0,5.0,2010
76175,Clash of the Titans (2010),Action|Adventure|Drama|Fantasy,"['Action', 'Adventure', 'Drama', 'Fantasy']",4,2010.0,13,2.3076923076923075,0.9903379376602872,0.5,4.0,2010
76251,Kick-Ass (2010),Action|Comedy,"['Action', 'Comedy']",2,2010.0,43,3.651162790697674,0.8057448766213474,0.5,4.5,2010
76293,Date Night (2010),Action|Comedy|Romance,"['Action', 'Comedy', 'Romance']",3,2010.0,11,3.3181818181818183,0.5134553180524705,2.5,4.0,2010
76738,Steam of Life (Miesten vuoro) (2010),Documentary,['Documentary'],1,2010.0,1,3.5,0.0,3.5,3.5,2010
76763,"Runaways, The (2010)",Drama|Musical,"['Drama', 'Musical']",2,2010.0,1,3.5,0.0,3.5,3.5,2010
77191,Death at a Funeral (2010),Comedy,['Comedy'],1,2010.0,2,3.25,1.0606601717798212,2.5,4.0,2010
77206,Diary of a Wimpy Kid (2010),Children|Comedy,"['Children', 'Comedy']",2,2010.0,1,3.5,0.0,3.5,3.5,2010
77364,"Losers, The (2010)",Action|Adventure|Drama|Mystery|Thriller,"['Action', 'Adventure', 'Drama', 'Mystery', 'Thriller']",5,2010.0,3,3.0,0.5,2.5,3.5,2010
77414,"Last Song, The (2010)",Drama|Romance,"['Drama', 'Romance']",2,2010.0,1,3.5,0.0,3.5,3.5,2010
77421,Cyrus (2010),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",3,2010.0,1,2.5,0.0,2.5,2.5,2010
77455,Exit Through the Gift Shop (2010),Comedy|Documentary,"['Comedy', 'Documentary']",2,2010.0,13,4.038461538461538,0.627877989127481,3.0,5.0,2010
77561,Iron Man 2 (2010),Action|Adventure|Sci-Fi|Thriller|IMAX,"['Action', 'Adventure', 'Sci-Fi', 'Thriller', 'IMAX']",5,2010.0,47,3.5106382978723403,0.7973417909183399,0.5,5.0,2010
77667,MacGruber (2010),Action|Comedy,"['Action', 'Comedy']",2,2010.0,1,3.0,0.0,3.0,3.0,2010
77798,"Nightmare on Elm Street, A (2010)",Fantasy|Horror|Thriller,"['Fantasy', 'Horror', 'Thriller']",3,2010.0,2,1.25,1.0606601717798212,0.5,2.0,2010
77800,Four Lions (2010),Comedy|Drama,"['Comedy', 'Drama']",2,2010.0,5,4.0,0.9354143466934852,2.5,5.0,2010
77866,Robin Hood (2010),Action|Adventure|Drama|Romance|War,"['Action', 'Adventure', 'Drama', 'Romance', 'War']",5,2010.0,6,3.1666666666666665,1.0327955589886444,2.0,4.5,2010
78034,Cemetery Junction (2010),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",3,2010.0,1,3.5,0.0,3.5,3.5,2010
78039,Blue Valentine (2010),Drama|Romance,"['Drama', 'Romance']",2,2010.0,5,2.8,1.396424004376894,0.5,4.0,2010
78041,Killers (2010),Action|Comedy,"['Action', 'Comedy']",2,2010.0,2,2.25,1.0606601717798212,1.5,3.0,2010
78088,Buried (2010),Mystery|Thriller,"['Mystery', 'Thriller']",2,2010.0,4,3.5,0.408248290463863,3.0,4.0,2010
78105,Prince of Persia: The Sands of Time (2010),Action|Adventure|Fantasy|Romance|IMAX,"['Action', 'Adventure', 'Fantasy', 'Romance', 'IMAX']",5,2010.0,13,2.8846153846153846,0.9607689228305228,1.0,4.0,2010
78116,Please Give (2010),Comedy|Drama,"['Comedy', 'Drama']",2,2010.0,1,3.5,0.0,3.5,3.5,2010
78174,Sex and the City 2 (2010),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",3,2010.0,2,1.0,0.7071067811865476,0.5,1.5,2010
78209,Get Him to the Greek (2010),Comedy,['Comedy'],1,2010.0,10,3.55,0.9264628073124864,1.5,5.0,2010
